"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USC00229743","01","    5.38","     0.2","    40.9","    52.6","    29.2"
"USC00229743","02","    5.45","     0.4","    44.5","    57.1","    31.8"
"USC00229743","03","    5.64","     0.2","    51.9","    65.3","    38.6"
"USC00229743","04","    6.12","     0.0","    59.4","    72.7","    46.0"
"USC00229743","05","    4.98","     0.0","    67.7","    79.9","    55.6"
"USC00229743","06","    4.49","     0.0","    75.3","    86.7","    63.9"
"USC00229743","07","    5.33","     0.0","    78.3","    89.3","    67.2"
"USC00229743","08","    4.07","     0.0","    77.8","    89.6","    66.0"
"USC00229743","09","    3.95","     0.0","    72.4","    85.3","    59.5"
"USC00229743","10","    3.74","     0.0","    61.2","    75.2","    47.2"
"USC00229743","11","    4.16","     0.0","    50.1","    63.7","    36.5"
"USC00229743","12","    5.72","     0.0","    43.6","    55.3","    31.8"
